  ,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,_o_s_,BOSE,[],[],[],[],[],[],[],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,_ia_n_,"PIANO
",[],[],[],[],[],[],[],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,c_s_h_o_n,CUSHION,[0.026851851851851852],[-0.31666666666666665],[1],[0],[0],[5.444726099958643],['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,_oo_,BOOK,"[0.020370370370370372, -0.013888888888888888]","[-0.2601851851851852, -0.29907407407407405]","[1, 1]","[0, 0]","[0, 0]","[3.0430622999556363, 3.9591736999573186]",['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,t_g_r,TIGER,[0.019444444444444445],[-0.2953703703703704],[1],[0],[0],[4.029167299973778],['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,_ea_o_,PEACOCK,[-0.010185185185185186],[-0.337037037037037],[1],[0],[0],[9.323467700043693],[],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,o_a_n_e,,[-0.05648148148148148],[-0.29814814814814816],[1],[0],[0],[0.49518810003064573],['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,_p_a_d_,,[-0.027777777777777776],[-0.29907407407407405],[1],[0],[0],[4.45522450003773],['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,c_m_r_,CAMERA,[0.01574074074074074],[-0.2833333333333333],[1],[0],[0],[4.320053400006145],['text_3'],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,_a_e,RAT,[],[],[],[],[],[],[],853195,1,2023-10-05_16h34.15.567,tutorial5,2023.2.2,59.88217584,2023-10-05 16h34.22.879520 +0530
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Proportion of Hit from study list,80,0.8,,,,,,,,,,,
,,,Proportion of Hit from non primed words,50,0.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Prime score,,0.3,,,,,,,,,,,
